date	hour	dayssincestart
2014-04-15	6.8333333333333	1971
2014-04-14	7.1666666666667	1970
2014-04-13	6.6666666666667	1969
2014-04-12	7	1968
2014-04-11	7	1967
2014-04-10	6.75	1966
2014-04-05	7.3333333333333	1961
2014-04-03	6.8333333333333	1959
2014-04-02	7.5	1958
2014-04-01	7.5	1957
2014-03-31	7.3333333333333	1956
2014-03-30	6.6666666666667	1955
2014-03-29	6.8333333333333	1954
2014-03-28	6.8333333333333	1953
2014-03-27	6.8166666666667	1952
2014-02-14	6.8333333333333	1911
2013-05-05	8.5	1626
2013-05-03	7.75	1624
2013-05-02	8	1623
2013-04-26	8.75	1617
2013-04-25	7.5	1616
2013-04-05	9	1596
2013-04-04	8.75	1595
2013-04-01	8.1666666666667	1592
2013-03-28	9	1588
2013-03-27	11.666666666667	1587
2013-03-26	9	1586
2013-03-25	9	1585
2013-03-18	9	1578
2013-03-07	7.5333333333333	1567
2013-03-07	7.5	1567
2013-02-13	7.1666666666667	1545
2013-02-12	8.4	1544
2013-02-04	8.5	1536
2013-02-01	10	1533
2013-01-31	8.2833333333333	1532
2013-01-30	8.1666666666667	1531
2013-01-29	10	1530
2013-01-28	9	1529
2013-01-27	9.6666666666667	1528
2013-01-24	9.5	1525
2013-01-23	8.75	1524
2013-01-22	8.75	1523
2013-01-21	9	1522
2013-01-19	8.5	1520
2013-01-18	8.25	1519
2013-01-16	8.7333333333333	1517
2013-01-14	9.25	1515
2013-01-13	9.75	1514
2013-01-12	9.85	1513
2013-01-11	9	1512
2013-01-10	8	1511
2013-01-08	8.5	1509
2013-01-07	8.8333333333333	1508
2013-01-06	9	1507
2013-01-05	8.8333333333333	1506
2013-01-04	9	1505
2013-01-02	9	1503
2013-01-01	9	1502
2012-12-31	9.4833333333333	1501
2012-12-29	9	1499
2012-12-28	9.3333333333333	1498
2012-12-21	9.6666666666667	1491
2012-12-19	8.8333333333333	1489
2012-12-11	9.75	1481
2012-12-07	10.666666666667	1477
2012-12-05	8.5	1475
2012-11-27	10.166666666667	1467
2012-11-26	10.166666666667	1466
2012-11-17	9.2	1457
2012-11-16	9.5	1456
2012-11-15	8.25	1455
2012-11-13	9.25	1453
2012-11-06	8	1446
2012-11-05	8.3333333333333	1445
2012-10-31	9.3333333333333	1440
2012-10-30	8.9333333333333	1439
2012-10-26	7.5	1435
2012-10-24	9	1433
2012-10-23	9.1	1432
2012-10-22	9.8333333333333	1431
2012-10-20	9.1333333333333	1429
2012-03-13	9.5	1208
2011-12-22	9	1126
2011-11-01	8.1833333333333	1075
2011-10-30	8	1073
2011-10-21	7.75	1064
2011-10-20	8.65	1063
2011-10-18	8.5	1061
2011-10-17	9.5166666666667	1060
2011-10-12	9.5	1055
2011-10-12	7.5	1055
2011-10-11	8.5	1054
2011-09-15	9.3333333333333	1028
2011-09-13	8.35	1026
2011-07-27	7	978
2011-06-22	7.3333333333333	943
2011-06-21	8.2833333333333	942
2011-06-20	9	941
2011-06-03	8.6666666666667	924
2011-05-31	8.5666666666667	921
2011-05-30	10	920
2011-05-29	9	919
2011-05-27	8.8333333333333	917
2011-05-26	9	916
2011-05-25	8.5	915
2011-05-24	8.3333333333333	914
2011-05-17	8.5	907
2011-05-16	9	906
2011-05-13	8.9833333333333	903
2011-05-12	9	902
2011-05-03	8.9833333333333	893
2011-05-02	9.1	892
2011-04-23	9.5	883
2011-04-22	10.1	882
2011-04-21	8.6833333333333	881
2011-04-20	8.6	880
2011-04-19	9	879
2011-04-18	8.85	878
2011-04-16	9.5	876
2011-04-15	9.75	875
2011-04-14	9.8333333333333	874
2011-04-12	9	872
2011-04-11	9.3333333333333	871
2011-04-09	9.5	869
2011-04-08	9.1666666666667	868
2011-04-07	8.5	867
2011-04-06	9	866
2011-04-05	9	865
2011-04-01	8.5	861
2011-03-31	9.4333333333333	860
2011-03-30	9.6833333333333	859
2011-03-29	9.2166666666667	858
2011-03-28	10	857
2011-03-25	8.8333333333333	854
2011-03-24	8.75	853
2011-03-22	9.25	851
2010-11-04	9.5	713
2010-10-12	10.383333333333	690
2010-09-03	9.6666666666667	651
2010-09-01	10.3	649
2010-08-26	8.8666666666667	643
2010-08-21	10.283333333333	638
2010-08-11	10.683333333333	628
2010-06-18	9.8333333333333	574
2010-06-05	9.1833333333333	561
2010-06-04	8	560
2010-06-03	9.4166666666667	559
2010-06-02	9.0166666666667	558
2010-06-01	8.8666666666667	557
2010-05-30	9.45	555
2010-05-27	9.9	552
2010-05-25	9.1166666666667	550
2010-05-19	9.5333333333333	544
2010-05-18	10.533333333333	543
2010-05-16	11.05	541
2010-05-14	8.95	539
2010-05-13	9	538
2010-05-09	9.4833333333333	534
2010-05-07	9.5	532
2010-05-06	8.5	531
2010-05-05	8.0166666666667	530
2010-05-04	9.3	529
2010-04-29	9.3333333333333	524
2010-04-28	10	523
2010-04-27	9.6833333333333	522
2010-04-27	9.3333333333333	522
2010-04-25	9.9833333333333	520
2010-04-25	9.5	520
2010-04-24	9.2833333333333	519
2010-04-22	10.416666666667	517
2010-04-17	10.633333333333	512
2010-04-15	10.833333333333	510
2010-04-13	10.75	508
2010-04-11	11.5	506
2010-04-08	10.5	503
2010-04-07	10.183333333333	502
2010-04-06	10.25	501
2010-04-05	10	500
2010-04-04	10.35	499
2010-04-03	10.5	498
2010-04-02	9.75	497
2010-04-01	10	496
2010-03-31	10.283333333333	495
2010-03-30	10.6	494
2010-03-29	10.683333333333	493
2010-03-28	10.5	492
2010-03-27	9.8333333333333	491
2010-03-26	9.9666666666667	490
2010-03-25	9.5	489
2010-03-24	9.8	488
2010-03-23	10.916666666667	487
2010-03-21	10.5	485
2010-03-20	9.9833333333333	484
2010-03-19	11	483
2010-03-18	10	482
2010-03-17	9.9166666666667	481
2010-03-16	9.75	480
2010-03-15	10.066666666667	479
2010-03-11	9	475
2010-03-10	10.033333333333	474
2010-03-09	9.4833333333333	473
2010-03-08	10.433333333333	472
2010-03-07	9.6666666666667	471
2010-03-06	10.733333333333	470
2010-03-01	7.5	465
2010-02-28	9.5	464
2010-02-27	10	463
2010-02-23	9.7833333333333	459
2010-02-22	10.033333333333	458
2010-02-18	10.716666666667	454
2010-02-16	10.05	452
2010-02-15	10.683333333333	451
2010-02-13	10.516666666667	449
2010-02-12	10	448
2010-02-11	10	447
2010-02-08	10.483333333333	444
2010-02-07	10.5	443
2010-02-03	9.3666666666667	439
2010-02-01	10	437
2010-01-30	10.15	435
2010-01-29	9	434
2010-01-28	10.183333333333	433
2010-01-26	11	431
2010-01-23	10.566666666667	428
2010-01-21	10.083333333333	426
2010-01-20	10.016666666667	425
2010-01-19	11	424
2010-01-18	11	423
2010-01-17	11.283333333333	422
2010-01-16	11	421
2010-01-15	10	420
2010-01-12	11	417
2010-01-11	11.35	416
2010-01-10	11.5	415
2010-01-07	10.583333333333	412
2010-01-06	11.233333333333	411
2010-01-04	10.016666666667	409
2010-01-03	11	408
2010-01-02	11.683333333333	407
2010-01-01	11.3	406
2009-12-31	10.5	405
2009-12-18	9.1666666666667	392
2009-12-17	9.9666666666667	391
2009-12-16	9	390
2009-12-15	11	389
2009-12-14	11.183333333333	388
2009-12-10	9.6666666666667	384
2009-12-09	9.75	383
2009-12-05	11.266666666667	379
2009-12-04	10	378
2009-12-03	9.8333333333333	377
2009-12-02	9.8333333333333	376
2009-11-30	10.25	374
2009-11-29	10.5	373
2009-11-27	11.533333333333	371
2009-11-25	11.166666666667	369
2009-11-24	10.1	368
2009-11-23	9.8333333333333	367
2009-11-22	11.033333333333	366
2009-11-21	10.983333333333	365
2009-11-19	10	363
2009-11-18	10.333333333333	362
2009-11-17	10.566666666667	361
2009-11-16	10.5	360
2009-11-15	7.2666666666667	359
2009-11-09	9.3333333333333	353
2009-11-08	10.15	352
2009-11-06	9.45	350
2009-11-05	10.5	349
2009-11-04	10.5	348
2009-10-26	10.016666666667	339
2009-10-23	9.6	336
2009-10-22	9.6666666666667	335
2009-10-21	9.7333333333333	334
2009-10-20	8.5	333
2009-10-15	10.15	328
2009-10-13	10	326
2009-10-12	9.5	325
2009-10-10	9.5666666666667	323
2009-10-09	9.6666666666667	322
2009-10-08	8.75	321
2009-10-06	8.7	319
2009-10-05	9	318
2009-10-04	9.5	317
2009-10-01	9.3333333333333	314
2009-09-30	9	313
2009-09-29	10	312
2009-09-26	10	309
2009-09-23	9	306
2009-09-22	9.5	305
2009-09-21	8	304
2009-09-20	9.5	303
2009-09-19	9.6166666666667	302
2009-09-18	9	301
2009-09-17	9.5666666666667	300
2009-09-16	11	299
2009-09-15	9.6	298
2009-09-14	9	297
2009-09-13	9.5	296
2009-09-10	9.1333333333333	293
2009-09-09	9	292
2009-09-08	9.4	291
2009-09-07	9	290
2009-09-05	9	288
2009-09-04	8.5	287
2009-09-03	9.0333333333333	286
2009-09-01	10	284
2009-08-30	10.5	282
2009-08-29	10.4	281
2009-08-28	9.1666666666667	280
2009-08-27	9.6333333333333	279
2009-08-25	9	277
2009-08-24	9.95	276
2009-08-22	10.666666666667	274
2009-08-18	9.4833333333333	270
2009-08-17	10.833333333333	269
2009-08-13	9	265
2009-08-11	9.5833333333333	263
2009-08-09	10.5	261
2009-08-09	10.333333333333	261
2009-08-08	10	260
2009-07-29	9.7	250
2009-07-28	10	249
2009-07-27	9.1666666666667	248
2009-07-26	11.016666666667	247
2009-07-25	9.5	246
2009-07-24	8.7	245
2009-07-23	9.9333333333333	244
2009-07-22	9	243
2009-07-19	9.2833333333333	240
2009-07-18	9	239
2009-07-17	9.65	238
2009-07-17	9.4	238
2009-07-16	8.0666666666667	237
2009-07-15	8.25	236
2009-07-14	8.4333333333333	235
2009-07-13	8.3333333333333	234
2009-07-12	8.8666666666667	233
2009-07-11	9.35	232
2009-07-10	9.3333333333333	231
2009-07-09	8.6166666666667	230
2009-07-08	8.0166666666667	229
2009-07-07	9.9833333333333	228
2009-07-05	10.933333333333	226
2009-07-04	9.4333333333333	225
2009-07-03	10.383333333333	224
2009-07-02	10.133333333333	223
2009-07-01	8.95	222
2009-06-29	8.9166666666667	220
2009-06-28	10.066666666667	219
2009-06-27	10.516666666667	218
2009-06-25	9.2	216
2009-06-23	10.233333333333	214
2009-06-22	10.183333333333	213
2009-06-21	9.8166666666667	212
2009-06-20	9.5	211
2009-06-18	9.5166666666667	209
2009-06-08	11	199
2009-05-28	11.5	188
2009-05-25	12.55	185
2009-05-23	11.216666666667	183
2009-05-22	12.066666666667	182
2009-05-20	7.65	180
2009-05-13	11.5	173
2009-05-05	11.116666666667	165
2009-05-04	10.5	164
2009-05-03	10.466666666667	163
2009-05-01	11.1	161
2009-04-30	10	160
2009-04-29	10.783333333333	159
2009-04-28	11.366666666667	158
2009-04-27	10.933333333333	157
2009-04-26	10	156
2009-04-25	11.233333333333	155
2009-04-24	8.9333333333333	154
2009-04-23	10.6	153
2009-04-22	10.5	152
2009-04-20	10.983333333333	150
2009-04-19	10.2	149
2009-04-18	11	148
2009-04-17	10.85	147
2009-04-16	10.016666666667	146
2009-04-15	10.383333333333	145
2009-04-14	10.65	144
2009-04-13	10.566666666667	143
2009-04-07	11.5	137
2009-04-05	10	135
2009-04-02	9.4666666666667	132
2009-04-01	10	131
2009-03-31	9.2333333333333	130
2009-03-29	9.7833333333333	128
2009-03-21	10.316666666667	120
2009-03-20	9.1666666666667	119
2009-03-19	9.3333333333333	118
2009-03-18	9.6666666666667	117
2009-03-16	8.9166666666667	115
2009-03-15	10.416666666667	114
2009-03-13	8.9333333333333	112
2009-03-13	8.75	112
2009-03-12	9.3333333333333	111
