geoid,geoid2,geoname,totalpop,maroferror
1400000US31001965400,31001965400,"Census Tract 9654, Adams County, Nebraska",4077,180
1400000US31001965500,31001965500,"Census Tract 9655, Adams County, Nebraska",3951,309
1400000US31001965600,31001965600,"Census Tract 9656, Adams County, Nebraska",5488,321
1400000US31001965700,31001965700,"Census Tract 9657, Adams County, Nebraska",1266,171
1400000US31001965800,31001965800,"Census Tract 9658, Adams County, Nebraska",2724,299
1400000US31001965900,31001965900,"Census Tract 9659, Adams County, Nebraska",4331,290
1400000US31001966000,31001966000,"Census Tract 9660, Adams County, Nebraska",4837,330
1400000US31001966100,31001966100,"Census Tract 9661, Adams County, Nebraska",2399,200
1400000US31001966200,31001966200,"Census Tract 9662, Adams County, Nebraska",2226,111
1400000US31003979600,31003979600,"Census Tract 9796, Antelope County, Nebraska",2258,132
1400000US31003979700,31003979700,"Census Tract 9797, Antelope County, Nebraska",1730,124
1400000US31003979800,31003979800,"Census Tract 9798, Antelope County, Nebraska",2667,126
1400000US31005958300,31005958300,"Census Tract 9583, Arthur County, Nebraska",490,64
1400000US31007954000,31007954000,"Census Tract 9540, Banner County, Nebraska",778,73
1400000US31009972400,31009972400,"Census Tract 9724, Blaine County, Nebraska",584,76
1400000US31011960100,31011960100,"Census Tract 9601, Boone County, Nebraska",3524,123
1400000US31011960200,31011960200,"Census Tract 9602, Boone County, Nebraska",1949,123
1400000US31013951100,31013951100,"Census Tract 9511, Box Butte County, Nebraska",2212,136
1400000US31013951200,31013951200,"Census Tract 9512, Box Butte County, Nebraska",4862,328
1400000US31013951300,31013951300,"Census Tract 9513, Box Butte County, Nebraska",4271,326
1400000US31015975800,31015975800,"Census Tract 9758, Boyd County, Nebraska",2025,114
1400000US31017975000,31017975000,"Census Tract 9750, Brown County, Nebraska",3183,97
1400000US31019968900,31019968900,"Census Tract 9689, Buffalo County, Nebraska",3504,219
1400000US31019969000,31019969000,"Census Tract 9690, Buffalo County, Nebraska",4095,252
1400000US31019969100,31019969100,"Census Tract 9691, Buffalo County, Nebraska",4519,248
1400000US31019969202,31019969202,"Census Tract 9692.02, Buffalo County, Nebraska",3714,222
1400000US31019969203,31019969203,"Census Tract 9692.03, Buffalo County, Nebraska",5019,411
1400000US31019969204,31019969204,"Census Tract 9692.04, Buffalo County, Nebraska",5166,331
1400000US31019969300,31019969300,"Census Tract 9693, Buffalo County, Nebraska",2452,272
1400000US31019969400,31019969400,"Census Tract 9694, Buffalo County, Nebraska",3987,297
1400000US31019969500,31019969500,"Census Tract 9695, Buffalo County, Nebraska",2206,240
1400000US31019969600,31019969600,"Census Tract 9696, Buffalo County, Nebraska",6006,438
1400000US31019969700,31019969700,"Census Tract 9697, Buffalo County, Nebraska",5662,277
1400000US31021963200,31021963200,"Census Tract 9632, Burt County, Nebraska",2258,126
1400000US31021963300,31021963300,"Census Tract 9633, Burt County, Nebraska",2461,141
1400000US31021963400,31021963400,"Census Tract 9634, Burt County, Nebraska",2110,144
1400000US31023967600,31023967600,"Census Tract 9676, Butler County, Nebraska",3391,123
1400000US31023967700,31023967700,"Census Tract 9677, Butler County, Nebraska",2978,70
1400000US31023967800,31023967800,"Census Tract 9678, Butler County, Nebraska",1976,121
1400000US31025965600,31025965600,"Census Tract 9656, Cass County, Nebraska",3596,248
