GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - White alone,Margin of Error; Total: - White alone,Estimate; Total: - Black or African American alone,Margin of Error; Total: - Black or African American alone,Estimate; Total: - American Indian and Alaska Native alone,Margin of Error; Total: - American Indian and Alaska Native alone,Estimate; Total: - Asian alone,Margin of Error; Total: - Asian alone,Estimate; Total: - Native Hawaiian and Other Pacific Islander alone,Margin of Error; Total: - Native Hawaiian and Other Pacific Islander alone,Estimate; Total: - Some other race alone,Margin of Error; Total: - Some other race alone,Estimate; Total: - Two or more races:,Margin of Error; Total: - Two or more races:,Estimate; Total: - Two or more races: - Two races including Some other race,Margin of Error; Total: - Two or more races: - Two races including Some other race,"Estimate; Total: - Two or more races: - Two races excluding Some other race, and three or more races","Margin of Error; Total: - Two or more races: - Two races excluding Some other race, and three or more races"
1400000US31001965400,31001965400,"Census Tract 9654, Adams County, Nebraska",4077,180,4028,187,21,34,19,19,0,10,4,8,0,10,5,6,0,10,5,6
1400000US31001965500,31001965500,"Census Tract 9655, Adams County, Nebraska",3951,309,3699,315,12,26,64,81,27,42,0,10,139,131,10,20,10,20,0,10
1400000US31001965600,31001965600,"Census Tract 9656, Adams County, Nebraska",5488,321,5350,324,56,46,2,5,53,55,0,14,0,14,27,34,21,31,6,12
1400000US31001965700,31001965700,"Census Tract 9657, Adams County, Nebraska",1266,171,1130,138,8,8,2,4,26,23,0,10,0,10,100,85,0,10,100,85
1400000US31001965800,31001965800,"Census Tract 9658, Adams County, Nebraska",2724,299,2429,273,0,10,36,36,32,43,0,10,169,159,58,54,0,10,58,54
1400000US31001965900,31001965900,"Census Tract 9659, Adams County, Nebraska",4331,290,4105,267,2,4,3,6,124,140,2,3,62,71,33,50,33,50,0,10
1400000US31001966000,31001966000,"Census Tract 9660, Adams County, Nebraska",4837,330,4360,390,71,49,0,10,146,134,0,10,39,71,221,114,0,10,221,114
1400000US31001966100,31001966100,"Census Tract 9661, Adams County, Nebraska",2399,200,2366,204,20,29,0,10,0,10,0,10,0,10,13,21,0,10,13,21
1400000US31001966200,31001966200,"Census Tract 9662, Adams County, Nebraska",2226,111,2192,116,14,22,0,10,4,7,0,10,1,4,15,16,0,10,15,16
1400000US31003979600,31003979600,"Census Tract 9796, Antelope County, Nebraska",2258,132,2242,133,0,10,5,9,7,7,0,10,0,10,4,7,0,10,4,7
1400000US31003979700,31003979700,"Census Tract 9797, Antelope County, Nebraska",1730,124,1693,127,9,12,0,10,0,10,0,10,0,10,28,18,0,10,28,18
1400000US31003979800,31003979800,"Census Tract 9798, Antelope County, Nebraska",2667,126,2629,123,1,2,0,10,0,10,0,10,0,10,37,23,0,10,37,23
1400000US31005958300,31005958300,"Census Tract 9583, Arthur County, Nebraska",490,64,487,64,0,10,0,10,0,10,0,10,0,10,3,3,0,10,3,3
1400000US31007954000,31007954000,"Census Tract 9540, Banner County, Nebraska",778,73,748,68,14,20,0,10,2,4,0,10,5,6,9,11,0,10,9,11
1400000US31009972400,31009972400,"Census Tract 9724, Blaine County, Nebraska",584,76,568,77,0,10,0,10,0,10,0,10,0,10,16,13,0,10,16,13
1400000US31011960100,31011960100,"Census Tract 9601, Boone County, Nebraska",3524,123,3517,121,0,10,0,10,0,10,0,10,0,10,7,9,0,10,7,9
1400000US31011960200,31011960200,"Census Tract 9602, Boone County, Nebraska",1949,123,1926,121,1,3,0,10,8,12,5,6,0,10,9,12,9,12,0,10
1400000US31013951100,31013951100,"Census Tract 9511, Box Butte County, Nebraska",2212,136,2138,139,5,7,10,8,1,3,0,10,5,8,53,44,21,31,32,31
1400000US31013951200,31013951200,"Census Tract 9512, Box Butte County, Nebraska",4862,328,4457,302,1,4,155,161,13,13,0,10,117,157,119,101,0,10,119,101
1400000US31013951300,31013951300,"Census Tract 9513, Box Butte County, Nebraska",4271,326,3658,363,5,10,276,138,20,23,0,10,224,203,88,78,14,19,74,75
1400000US31015975800,31015975800,"Census Tract 9758, Boyd County, Nebraska",2025,114,1992,110,20,17,3,5,0,10,0,10,3,5,7,9,0,10,7,9
1400000US31017975000,31017975000,"Census Tract 9750, Brown County, Nebraska",3183,97,3131,98,4,6,0,10,6,13,0,10,0,10,42,29,0,10,42,29
1400000US31019968900,31019968900,"Census Tract 9689, Buffalo County, Nebraska",3504,219,3420,212,0,10,0,10,24,21,0,10,16,21,44,34,2,4,42,34
1400000US31019969000,31019969000,"Census Tract 9690, Buffalo County, Nebraska",4095,252,4049,248,3,4,1,4,11,16,0,10,1,3,30,25,3,4,27,27
1400000US31019969100,31019969100,"Census Tract 9691, Buffalo County, Nebraska",4519,248,4172,280,18,21,2,4,1,2,0,10,291,118,35,24,7,8,28,23
1400000US31019969202,31019969202,"Census Tract 9692.02, Buffalo County, Nebraska",3714,222,3511,236,26,44,7,14,41,34,0,10,0,10,129,70,28,41,101,58
1400000US31019969203,31019969203,"Census Tract 9692.03, Buffalo County, Nebraska",5019,411,4815,408,12,15,13,15,0,14,0,14,169,161,10,16,0,14,10,16
1400000US31019969204,31019969204,"Census Tract 9692.04, Buffalo County, Nebraska",5166,331,4853,306,117,88,7,10,30,34,0,14,52,39,107,84,24,21,83,80
1400000US31019969300,31019969300,"Census Tract 9693, Buffalo County, Nebraska",2452,272,1949,281,0,10,1,2,0,10,0,10,408,186,94,86,0,10,94,86
1400000US31019969400,31019969400,"Census Tract 9694, Buffalo County, Nebraska",3987,297,3783,304,25,30,20,30,82,85,0,10,46,72,31,24,0,10,31,24
1400000US31019969500,31019969500,"Census Tract 9695, Buffalo County, Nebraska",2206,240,2136,245,14,18,0,10,0,10,0,10,20,27,36,38,0,10,36,38
1400000US31019969600,31019969600,"Census Tract 9696, Buffalo County, Nebraska",6006,438,5511,445,49,40,15,16,320,91,0,14,17,19,94,56,13,21,81,51
1400000US31019969700,31019969700,"Census Tract 9697, Buffalo County, Nebraska",5662,277,5120,314,68,32,8,16,0,14,0,14,268,199,198,99,53,43,145,82
1400000US31021963200,31021963200,"Census Tract 9632, Burt County, Nebraska",2258,126,2180,113,15,12,17,21,10,16,0,10,0,10,36,38,0,10,36,38
1400000US31021963300,31021963300,"Census Tract 9633, Burt County, Nebraska",2461,141,2425,143,17,12,0,10,0,10,0,10,8,14,11,20,0,10,11,20
1400000US31021963400,31021963400,"Census Tract 9634, Burt County, Nebraska",2110,144,1977,139,0,10,95,78,0,10,0,10,8,7,30,24,0,10,30,24
