geoid2,white,black,amind,asian
31001965400,4028,21,19,0
31001965500,3699,12,64,27
31001965600,5350,56,2,53
31001965700,1130,8,2,26
31001965800,2429,0,36,32
31001965900,4105,2,3,124
31001966000,4360,71,0,146
31001966100,2366,20,0,0
31001966200,2192,14,0,4
31003979600,2242,0,5,7
31003979700,1693,9,0,0
31003979800,2629,1,0,0
31005958300,487,0,0,0
31007954000,748,14,0,2
31009972400,568,0,0,0
31011960100,3517,0,0,0
31011960200,1926,1,0,8
31013951100,2138,5,10,1
31013951200,4457,1,155,13
31013951300,3658,5,276,20
31015975800,1992,20,3,0
31017975000,3131,4,0,6
31019968900,3420,0,0,24
31019969000,4049,3,1,11
31019969100,4172,18,2,1
31019969202,3511,26,7,41
31019969203,4815,12,13,0
31019969204,4853,117,7,30
31019969300,1949,0,1,0
31019969400,3783,25,20,82
31019969500,2136,14,0,0
31019969600,5511,49,15,320
31019969700,5120,68,8,0
31021963200,2180,15,17,10
31021963300,2425,17,0,0
31021963400,1977,0,95,0
31023967600,3343,21,9,0
31023967700,2832,50,11,0
31023967800,1965,5,1,5
31025965600,3527,19,0,28
31025965700,4679,5,0,2
31025965800,2802,17,11,41
31025965900,5011,0,26,2
31025966000,3793,88,0,18
31025966100,4670,34,0,11
31027977100,4324,12,14,2
31027977200,4390,0,5,13
31029961900,3883,1,0,0
31031955800,4003,2,136,75
31031955900,1346,11,8,0
31033954800,2832,8,2,13
31033954900,4182,1,61,54
31033955000,2684,19,0,124
31035962100,3569,13,59,0
31035962200,2774,1,7,0
31037964600,2340,0,4,6
31037964700,1603,2,5,0
31037964800,5522,136,76,10
31039972700,2536,2,3,2
31039972800,4151,41,1,0
31039972900,2062,0,2,11
31041971700,2751,15,0,0
31041971800,2726,0,0,0
31041971900,3792,0,7,0
31041972000,1381,0,2,0
31043010100,3348,381,402,296
31043010200,4556,312,43,118
31043010300,3638,51,54,263
31043010400,3227,0,0,0
31045950600,2533,45,10,21
31045950700,5802,152,399,112
31047968000,2235,31,32,29
31047968100,1528,0,0,11
31047968200,3649,0,0,0
31047968300,3921,4,15,56
31047968400,3267,266,50,0
31047968500,3692,488,29,0
31047968600,1430,0,7,22
31049955400,1936,7,2,0
31051977600,2590,9,33,0
31051977800,3220,10,0,0
31053963600,4959,52,8,1
31053963700,2682,0,0,0
31053963800,4996,1,7,93
31053963900,3607,43,0,13
31053964000,3196,0,44,33
31053964100,4147,1,13,15
31053964200,3777,29,49,12
31053964300,4852,0,16,16
31053964400,3006,5,97,0
31055000200,2448,826,17,0
31055000300,829,1499,0,15
31055000400,1743,100,11,0
31055000500,1287,460,14,58
31055000600,236,851,3,253
31055000700,118,922,0,0
31055000800,293,1352,207,0
31055001100,567,1699,0,6
31055001200,504,1942,0,0
31055001600,1967,83,12,191
31055001800,2567,558,38,120
31055001900,682,349,0,0
31055002000,2344,196,51,0
31055002100,1538,194,53,0
31055002200,962,0,0,20
31055002300,2253,21,5,37
31055002400,2412,34,48,0
31055002500,1688,111,0,13
31055002600,1420,8,70,60
31055002700,1179,0,170,0
31055002800,1702,45,225,0
31055002900,2751,1476,0,12
31055003000,3989,257,0,147
